codigoOrgao;nomeOrgao;codigoUnidadeGestora;nomeUnidadeGestora;codigoUnidadeGestoraOrigemContrato;nomeUnidadeGestoraOrigemContrato;receitaDespesa;numeroContrato;codigoUnidadeRealizadoraCompra;nomeUnidadeRealizadoraCompra;numeroCompra;codigoModalidadeCompra;nomeModalidadeCompra;codigoTipo;nomeTipo;codigoCategoria;nomeCategoria;codigoSubcategoria;nomeSubcategoria;niFornecedor;nomeRazaoSocialFornecedor;processo;objeto;informacoesComplementares;dataVigenciaInicial;dataVigenciaFinal;valorGlobal;numeroParcelas;valorParcela;valorAcumulado;totalDespesasAcessorias;dataHoraInclusao;numeroControlePncpContrato;idCompra;dataHoraExclusao;contratoExcluido;unidadesRequisitantes
25201;BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;D;2025NE002621;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;00045/2025;06;Dispensa;99;Empenho;60;Serviços;;;63469811000156;ECO + SERVICOS AMBIENTAIS E IMOBILIARIA LTDA;18600.022746/2025-37;CONTRATAÇÃO DE EMPRESA PARA SERVIÇO DE COLETA, TRANSPORTE, TRATAMENTO E DESTINAÇÃO FINAL DE LÂMPADAS E MATERIAIS ELETRÔNICOS DO PRÉDIO DO BANCO CENTRAL EM FORTALEZA.;;2025-04-15T00:00:00;2025-05-14T00:00:00;4722.0;1;4722.0;4722.0;;2025-04-14T15:47:25;;92513306000452025;;False;
25201;BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;D;2025NE003398;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;00046/2025;06;Dispensa;99;Empenho;60;Serviços;;;10013567000318;NEXO AUTOMAÇÃO FILIAL;282827;PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE PROJETO EXECUTIVO DE AUTOMAÇÃO PREDIAL DA ILUMINAÇÃO DO EDIFÍCIO SEDE DO BANCO CENTRAL DO BRASIL EM FORTALEZA.;;2025-05-12T00:00:00;2025-06-11T00:00:00;18900.0;1;18900.0;18900.0;;2025-05-09T08:36:05;;92513306000462025;;False;
25201;BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;D;2025NE004577;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;94577/2025;06;Dispensa;99;Empenho;60;Compras;;;46368367000163;AMENA CLIMATIZACAO LTDA;18600.063183/2025-37;AQUISIÇÃO DE 1 (UM) SPLIT DE 18.000 BTU/H PARA SUBSTITUIÇÃO DO EQUIPAMENTO EM USO NA GUARITA DO ESTACIONAMENTO EXTERNO DO PRÉDIO DO BANCO CENTRAL EM FORTALEZA.;;2025-07-02T00:00:00;2025-08-01T00:00:00;3325.0;1;3325.0;3325.0;;2025-07-01T10:59:08;;92513306945772025;;False;
25201;BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;D;05826/2024;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;90117/2024;05;Pregão;;;60;Serviços;;;23740606000169;DOMINI SERVICOS TECNICOS LTDA;18600.085989/2024-03;PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO PARA O BANCO CENTRAL DO BRASIL EM FORTALEZA;;2025-01-02T00:00:00;2027-01-02T00:00:00;228500.16;24;9520.84;427313.68;;2024-12-16T09:56:28;;92513305901172024;;False;
25201;BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;D;06870/2024;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;96870/2024;06;Dispensa;;;60;Compras;;;27761457000175;CAMILA FRAGOSO AGUIAR DOS ANJOS;278672;AQUISIÇÃO DE ÁGUA MINERAL NATURAL (GARRFÃO 20 LITROS);;2025-01-07T00:00:00;2027-01-06T00:00:00;25082.19;1;25082.19;25082.19;;2025-02-04T17:04:36;;92513306968702024;;False;
25201;BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;D;02561/2025;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;00032/2025;06;Dispensa;;;60;Serviços de Engenharia;;;00028986000531;ELEVADORES ATLAS SCHINDLER LTDA.;18600.012068/2025-02;PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA TÉCNICA E MANUTENÇÃO PREVENTIVA E CORRETIVA, COM FORNECIMENTO DE PEÇAS, FERRAMENTAS E MATERIAIS, NOS EQUIPAMENTOS E PROGRAMAS, EM 4 (QUATRO) ELEVADORES E 2 (DOIS) MONTA-CARGAS, TODOS DE FABRICAÇÃO ATLAS SCHINDLER, LOCALIZADOS NO EDIFÍCIO DO BANCO CENTRAL DO BRASIL, EM FORTALEZA.;;2025-07-29T00:00:00;2026-07-28T00:00:00;114000.0;12;9500.0;114000.0;;2025-07-22T09:48:17;;92513306000322025;;False;
25201;BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;D;2025NE003433;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;00047/2025;06;Dispensa;99;Empenho;60;Serviços;;;07210362000156;ISELETRICA LTDA;18600.035989/2025-35;"CONTRATAÇÃO DE SERVIÇO DE RECONDICIONAMENTO DE 1 (UM) MOTOR ELÉTRICO E 1 (UMA) BOMBA QUE ATENDEM O SISTEMA DE ÁGUA 
DE CONDENSAÇÃO DA CENTRAL DE ÁGUAS GELADAS (CAG) DO PRÉDIO DO BANCO CENTRAL EM FORTALEZA.";;2025-05-13T00:00:00;2025-06-12T00:00:00;4944.61;1;4944.61;4944.61;;2025-05-12T14:09:11;;92513306000472025;;False;
25201;BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;D;02871/2025;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;90022/2025;05;Pregão;;;60;Serviços;;;08243787000124;SUPREMA EMPREENDIMENTOS LTDA;18600.027612/2025-11;SERVIÇOS CONTÍNUOS DE LIMPEZA, ASSEIO E CONSERVAÇÃO, DE MANUTENÇÃO DE JARDINS, DE MOVIMENTAÇÃO DE MATERIAIS, DE RECEPÇÃO, A SEREM EXECUTADOS COM REGIME DE DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA, E DE COMBATE E CONTROLE DE VETORES E PRAGAS URBANAS PARA O BANCO CENTRAL DO BRASIL EM FORTALEZA;;2025-07-02T00:00:00;2027-07-02T00:00:00;2618254.8;24;109093.95;2618254.8;;2025-07-22T09:09:32;;92513305900222025;;False;
25201;BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;D;2025NE005310;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;00048/2025;06;Dispensa;99;Empenho;60;Compras;;;32885087000118;RP PISOS E REVESTIMENTOS LTDA;18600.072477/2025-50;AQUISIÇÃO DE 50,4 M² (21 CAIXAS) DE PISO VINÍLICO AUTOPORTANTE, DA MARCA FORBO, EM RÉGUAS DE DIMENSÕES DE 120 X 20 CM, LINHA ALLURA FLEX, MODELO PURÊ OAK (CÓDIGO 60295FL1), PARA O PRÉDIO DO BANCO CENTRAL EM FORTALEZA.;;2025-07-30T00:00:00;2025-08-29T00:00:00;16621.92;1;16621.92;16621.92;;2025-07-29T08:27:27;;92513306000482025;;False;
25201;BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;D;04177/2025;925133;GERENCIA ADMINISTRATIVA EM FORTALEZA;90036/2025;05;Pregão;;;60;Compras;;;60754773000195;HORIZON TATICAL EXPORT LTDA;18600.048975/2025-81;AQUISIÇÃO DE INSUMOS NECESSÁRIOS PARA MANUTENÇÃO PREVENTIVA E CORRETIVA DOS SISTEMAS PREDIAIS DO BANCO CENTRAL DO BRASIL EM FORTALEZA;;2025-08-07T00:00:00;2025-09-06T00:00:00;49880.0;1;49880.0;49880.0;;2025-08-07T13:09:21;;92513305900362025;;False;
